,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,City
0,15,RU,66,64.38,-173.3,40.93,18.03,provideniya
1,85,RU,30,70.63,147.92,67.48,12.75,chokurdakh
2,20,AR,59,-54.8,-68.3,35.6,18.34,ushuaia
3,81,AU,58,-33.65,115.33,63.0,17.63,busselton
4,49,CN,33,49.2,119.7,77.83,7.96,hailar
5,100,NZ,94,-46.19,168.86,44.1,2.3,mataura
6,75,TO,83,-21.2,-175.2,78.8,8.05,vaini
7,1,NZ,63,-35.17,173.17,59.02,15.84,ahipara
8,20,RE,77,-21.36,55.77,68.0,4.7,saint-philippe
9,9,PF,73,-23.12,-134.97,70.05,19.86,rikitea
10,0,CL,85,-53.15,-70.92,23.0,5.82,punta arenas
11,0,BR,69,-20.33,-40.29,75.2,11.41,vila velha
12,68,HK,70,22.29,114.16,90.0,5.99,victoria
13,4,ID,67,-3.8,102.27,82.89,3.31,bengkulu
14,97,PF,78,-16.48,-151.75,76.68,18.19,faanui
15,75,AU,100,-41.45,147.17,46.0,4.7,barentsburg
16,90,US,62,57.79,-152.41,55.4,17.22,launceston
17,100,GB,100,58.98,-2.96,55.4,16.11,kodiak
18,20,US,62,19.73,-155.09,84.2,10.29,kirkwall
19,75,CA,63,54.52,-128.6,62.6,4.7,hilo
20,0,RO,77,46.43,26.4,64.0,5.32,terrace
21,0,PR,90,18.49,-66.83,82.99,11.74,tsihombe
22,61,MZ,99,-13.13,39.0,63.64,3.36,asau
23,20,ZA,62,-33.92,25.57,59.0,25.28,hatillo
24,55,TZ,86,-4.97,39.83,76.68,13.35,montepuez
25,100,NO,93,71.0,24.66,41.0,4.7,attawapiskat
26,0,AU,27,-20.73,139.5,73.4,5.82,port elizabeth
27,75,CA,40,62.46,-114.35,71.6,9.17,micheweni
28,36,RU,54,68.75,161.3,47.34,17.92,havoysund
29,0,AR,70,-34.65,-58.62,50.0,4.41,mount isa
30,100,CN,31,41.12,80.26,71.96,29.82,yellowknife
31,100,RU,39,71.97,102.5,77.79,6.04,cherskiy
32,76,UZ,34,40.43,71.72,69.8,6.93,moron
33,16,GL,85,72.79,-56.15,38.46,9.24,aksu
34,20,ES,87,43.52,-8.15,63.0,1.12,palabuhanratu
35,1,US,93,41.37,-73.41,68.0,3.38,khatanga
36,0,CK,64,-21.21,-159.78,75.2,14.99,komsomolskiy
37,75,US,61,39.95,-75.16,84.0,9.17,upernavik
38,52,NP,58,29.27,82.18,67.24,1.39,naron
39,90,BO,87,-17.8,-63.17,59.0,9.17,bethel
40,92,ZA,54,-33.59,26.89,62.01,32.12,avarua
41,91,ER,35,13.93,41.69,90.57,8.97,filadelfia
42,75,MX,58,22.89,-109.91,84.99,5.82,jumla
43,0,ZA,86,-29.12,26.21,26.6,3.36,santa cruz
44,0,RU,40,53.73,119.77,75.02,3.76,port alfred
45,97,LR,87,6.3,-10.8,76.64,6.15,edd
46,0,ES,87,40.83,-6.0,59.0,2.24,cabo san lucas
47,20,ZA,71,-33.93,18.42,57.99,6.93,bloemfontein
48,100,LR,86,6.75,-11.37,76.39,4.34,mogocha
49,100,RU,80,50.68,113.59,64.71,1.32,monrovia
50,90,SE,100,56.03,14.15,63.0,0.38,salamanca
51,90,US,76,40.6,-124.16,60.01,12.75,cape town
52,27,ZA,70,-34.53,20.04,59.0,8.01,robertsport
53,1,US,65,22.08,-159.32,82.99,14.99,duldurga
54,0,AU,70,-42.88,147.33,48.2,8.05,kristianstad
